League,Game_ID,Game_Date,Fixture_Time_Sydney,Home_Team,Away_Team,Team,Player,Player_Key,Market,Projected_Minutes,Projected_Stat,Projection_P10,Projection_P90,Dispersion,History_Games,Role_Persistence,Role_Games,Role_Minutes_Median,Role_Minutes_MAD,Role_Continuity,Recent_Participation_Status,Games_Played_Last_4,Played_Last_Game,Days_Since_Appearance,Minutes_Trend_Ratio,Returning_Teammate_Risk,Role_Confidence_Status,Player_Training_Through,Status,Lineup_Source,Injury_Scenario,Model_Version,Generated_At_UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Nate Hinton,nate hinton,points,32.37858032378581,14.876338320693401,9,21,1.5,1,0.3269594300266598,1,30.3333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Nate Hinton,nate hinton,rebounds,32.37858032378581,6.11595717765355,3,10,1.5,1,0.3269594300266598,1,30.3333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Nate Hinton,nate hinton,assists,32.37858032378581,3.2411626688599853,1,6,1.5,1,0.3269594300266598,1,30.3333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Nate Hinton,nate hinton,threes,32.37858032378581,1.6433197480306974,-0,4,1.5,1,0.3269594300266598,1,30.3333333333333,,0.1,limited_recent_participation,1,TRUE,3,,FALSE,rotation_sensitive,2026-09-23,cold_start,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Max Mackinnon,max mackinnon,points,5.283757338551867,2.340913902684071,0,7,7.299999999999999,3,0.5591307732361761,3,4.95,1.7666666666666702,0.1,limited_recent_participation,1,TRUE,3,7.6926229508196675,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Max Mackinnon,max mackinnon,rebounds,5.283757338551867,0.979232175217558,0,3,5.375000000000001,3,0.5591307732361761,3,4.95,1.7666666666666702,0.1,limited_recent_participation,1,TRUE,3,7.6926229508196675,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Max Mackinnon,max mackinnon,assists,5.283757338551867,0.4476514683407838,-0,1,1.2,3,0.5591307732361761,3,4.95,1.7666666666666702,0.1,limited_recent_participation,1,TRUE,3,7.6926229508196675,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Max Mackinnon,max mackinnon,threes,5.283757338551867,0.25144974362114836,-0,1,1.2,3,0.5591307732361761,3,4.95,1.7666666666666702,0.1,limited_recent_participation,1,TRUE,3,7.6926229508196675,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Lat Mayen,lat mayen,points,11.670521259562339,3.4787148181547685,0,8,4.122256621947024,96,0.5138757769757416,10,5.758333333333329,2.966666666666664,0.2,limited_recent_participation,2,TRUE,3,2.2049763033175322,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
NBL,/matches/brisbane-bullets-v-illawarra-hawks-men-25-09-2026,2026-09-25,,brisbane bullets,illawarra hawks,brisbane bullets,Lat Mayen,lat mayen,rebounds,11.670521259562339,2.1477984837668807,-0,5,1.7072958257713249,96,0.5138757769757416,10,5.758333333333329,2.966666666666664,0.2,limited_recent_participation,2,TRUE,3,2.2049763033175322,FALSE,rotation_sensitive,2026-09-23,scenario_sensitive,official_roster_tracker,in_out_review,player_rate_shrunk_v1,2026-09-25 01:46:37 UTC
